31	-0.562	0.087	0.103	-0.334	-0.282	-0.343	0.042	0.021	0.461	-0.982	-0.044	-0.331	0.407	-0.003	-0.334	0.271	0.124	0.595	-0.039	0.353	-0.473	-0.032	-0.863	-1.217	-0.705	-0.999	-0.201	0.019	-0.626	-0.001	-0.238	0.096	-0.272	-0.231	-0.447	-0.124	0.659	-0.325	-0.106	-1.224	-0.193	0.551	1
32	0.991	-0.452	-0.138	-0.244	-0.115	0.887	-0.262	0.517	-0.325	-0.075	-0.143	-0.512	-0.653	0.168	-0.553	-0.595	0.121	-0.252	0.424	0.165	0.306	0.333	0.031	0.77	-0.114	0.145	-0.162	-0.149	-0.307	0.391	-0.093	-0.044	-0.016	-0.002	0.058	-0.005	0.387	-0.671	-0.527	-0.02	0.511	0.213	1
33	-0.164	0.552	-0.409	0.316	0.914	0.567	0.335	0.056	-0.894	1.675	0.48	-0.283	-0.957	-0.071	0.991	-0.222	0.144	-0.199	-1.542	0.785	-1.058	-0.964	0.37	0.03	0.365	-1.879	1.396	0.961	1.089	-1.639	0.579	0.964	0.766	-0.792	0.459	-0.609	0.952	-0.665	-0.908	0.439	0.607	-1.17	1
34	-1.707	0.516	1.192	0.262	-0.26	-0.658	1.33	-0.998	1.674	-1.127	0.601	1.828	1.269	0.52	-1.397	1.271	0.313	0.322	1.702	0.493	0.616	0.912	0.124	0.346	-1.009	-0.393	-0.377	1.49	1.307	1.136	0.07	-0.078	1.089	0.712	1.128	-0.915	-0.989	0.56	0.759	1.184	-1.542	1.277	1
35	-0.311	0.087	0.427	0.097	-0.282	0	0.246	-0.217	0.01	-0.034	-0.032	-0.711	0.024	-0.574	-0.095	-0.144	0.153	0.263	0.112	-0.599	-0.367	-0.236	-0.281	-0.795	0.012	0.145	-0.201	-0.173	-0.376	0.507	0.007	-0.487	-0.354	-0.467	-0.747	-0.355	-0.286	-1.016	-0.583	-0.826	-0.425	0.213	1
36	-0.131	-0.132	0.466	0.142	0.061	0.505	0.498	-0.293	0.038	-0.008	0.244	0.035	0.024	-0.213	-0.194	-0.701	0.221	-0.38	0.809	0.005	0.144	0.437	0.431	0.127	0.365	0.453	0.327	-0.358	-0.523	0.544	0.055	-0.319	0.137	0.176	0.808	0.061	0.23	-0.691	-0.208	0.029	0.607	0.213	1
37	-0.164	0.087	-0.91	0.06	0.005	-0.149	0.105	0.056	-0.219	0.14	0.468	-1.378	-0.668	-0.045	0.658	-0.89	-0.289	0.146	-0.013	0.696	0.144	-0.307	-1.217	-0.176	-0.115	-0.713	-0.429	-0.173	-0.626	0.507	0.007	-0.803	-0.095	0.157	0.365	-0.14	0.044	-0.616	0.1	-0.487	-0.574	0.213	1
38	0.542	-0.688	-0.761	0.57	-0.09	1.566	-0.171	1.079	-0.871	0.248	0.509	0.074	0.084	-0.045	-0.334	0.776	0.221	-0.069	0.14	0.28	0.112	-0.574	-0.419	0.058	0.045	0.275	-1.04	0.687	0.458	-0.683	0.502	0.559	0.319	-0.184	0.735	0.892	1.001	0.239	0.934	1.184	-0.239	0.213	1
39	0.221	-0.635	-0.834	-0.927	-0.035	0.017	-0.734	-0.035	-1.524	-1.041	-0.43	-0.142	1.269	0.264	-0.952	0.851	-0.028	0.759	-1.322	0.097	0.537	-0.243	-0.913	0.271	0.392	-0.305	-0.476	0.586	-0.627	-0.379	-0.411	-1.518	-0.82	0.467	0.174	0.123	0.516	-0.358	-0.158	0.511	0.945	-0.874	1
40	0.046	0.05	-0.132	0.454	0.762	0.633	-0.857	0.953	0.71	1.135	-0.032	-1.99	-1.108	0.016	1.436	-1.33	-1.212	0.784	-0.83	0.028	-0.831	0.174	1.12	-1.578	-1.236	-1.374	-0.01	0.925	1.854	-0.133	0.848	0.198	1.476	0.275	0.416	0.457	0.62	0.967	0.73	1.184	1.308	-1.868	1
